feature,importance
V69_isna,0
V303_clip_high,0
V303_clip_low,0
V303_isna,0
V311_isna,0
V68,0
V310_clip_low,0
V310_isna,0
V68_clip_high,0
V309_clip_low,0
V309_isna,0
V68_clip_low,0
V308_clip_low,0
V308_isna,0
V68_isna,0
V307_clip_low,0
V307_isna,0
V315_isna,0
V338_clip_high,0
V314_clip_high,0
V314_clip_low,0
V314_isna,0
V67_clip_low,0
V313_clip_low,0
V313_isna,0
V312_clip_high,0
V312_clip_low,0
V312_isna,0
V67_isna,0
V311_clip_low,0
V319_clip_low,0
V319_isna,0
V66_clip_high,0
V318_clip_low,0
V318_isna,0
V317_clip_high,0
V317_clip_low,0
V317_isna,0
V316_clip_high,0
V316_clip_low,0
V316_isna,0
V66_clip_low,0
V66_isna,0
V65,0
V65_clip_high,0
V65_clip_low,0
V315_clip_low,0
V323_clip_low,0
V73_isna,0
V72_clip_high,0
V322_clip_high,0
V322_clip_low,0
V72_clip_low,0
V321_clip_high,0
V321_clip_low,0
V321_isna,0
V72_isna,0
V320_clip_low,0
V320_isna,0
V319_clip_high,0
V327_clip_low,0
V327_isna,0
V326_clip_high,0
V326_clip_low,0
V71_clip_high,0
V325,0
V325_clip_high,0
V325_clip_low,0
V20_isna,0
V27,0
V27_clip_high,0
V27_clip_low,0
V27_isna,0
V26_clip_high,0
V26_clip_low,0
V26_isna,0
V36_clip_low,0
V25_clip_low,0
V25_isna,0
V36_isna,0
V24_clip_low,0
V24_isna,0
V40_clip_low,0
V325_isna,0
V324_clip_high,0
V324_clip_low,0
V324_isna,0
V323_clip_high,0
V331_clip_low,0
V331_isna,0
V21_clip_high,0
V330_clip_high,0
V330_clip_low,0
V330_isna,0
V40_isna,0
V329_clip_high,0
V329_clip_low,0
V329_isna,0
V328,0
V328_clip_high,0
V328_clip_low,0
V328_isna,0
V39_clip_low,0
V327_clip_high,0
uid_time_since_last,0
V334_clip_low,0
V332_isna,0
V334_isna,0
V333_clip_high,0
V333_clip_low,0
V333_isna,0
V332_clip_high,0
V332_clip_low,0
V337_clip_low,0
V337_isna,0
V39_isna,0
D5_clip_low,0
D1_clip_low,0
D5_clip_high,0
addr2,0
addr2_clip_high,0
V21_clip_low,0
