feature,importance
V324_clip_high,0
V9_isna,0
V325_isna,0
V325_clip_low,0
V325_clip_high,0
V9_clip_low,0
V326_isna,0
V326_clip_low,0
V10_isna,0
V111_clip_low,0
V327_isna,0
V327_clip_low,0
V327_clip_high,0
V10_clip_low,0
V328_isna,0
V328_clip_low,0
V328_clip_high,0
V11_isna,0
V329_isna,0
V329_clip_low,0
V329_clip_high,0
V11_clip_low,0
V330_isna,0
V330_clip_low,0
V330_clip_high,0
V330,0
V331_isna,0
V331_clip_low,0
V11_clip_high,0
V111_isna,0
V110,0
V12_clip_low,0
V110_clip_low,0
V110_isna,0
V109_clip_high,0
V109_clip_low,0
V109_isna,0
V108,0
V108_clip_low,0
V108_isna,0
V107,0
V107_clip_high,0
V107_clip_low,0
V107_isna,0
V13_isna,0
V106_clip_high,0
V106_clip_low,0
C9_clip_low,0
V106_isna,0
card2_clip_low,0
V13_clip_low,0
V14_isna,0
V105_clip_low,0
V105_isna,0
V14_clip_high,0
C10_clip_low,0
V104_clip_low,0
V104_isna,0
V14,0
V15_isna,0
V15_clip_low,0
V293_clip_low,0
